name,price,rating,distance,latitude,longitude
Lizard King,,7.0,721,53.015745,18.607203
Zapiekarnia,1.0,,64,53.000452,18.613884
Zapiekanki na dworcu,1.0,,103,53.000452,18.613884
Spichrz,,,103,53.000452,18.613884
Budowlani Toruń,,,524,53.000452,18.613884
La Pablo. FHU. Wiwatowski P.,1.0,,532,53.000452,18.613884
Folborska Monika Marcello,1.0,,555,53.000452,18.613884
Start Bar. Bugajski Artur Toruń,2.0,,577,53.000452,18.613884
Kim Orient,2.0,,674,53.000452,18.613884
Green Way,2.0,,938,53.000452,18.613884
Dakat Firma. Dróżdż Teresa Toruń,,,994,53.000452,18.613884
Manekin,,8.4,210,53.011939,18.611414
Szeroka No.9,,8.5,276,53.011939,18.611414
Pierogarnia Stary Toruń,1.0,8.1,324,53.011939,18.611414
Coffee & Whisky House,3.0,8.8,657,53.011939,18.611414
Pierogarnia Stary Młyn,1.0,8.1,370,53.011939,18.611414
Bread House Cafe,1.0,8.4,684,53.011939,18.611414
Apartamenty Monka,,8.4,707,53.011939,18.611414
Jan Olbracht Browar Staromiejski,2.0,7.8,388,53.011939,18.611414
Stare Metropolis,1.0,7.2,382,53.011939,18.611414
Lizard King,,7.0,506,53.011939,18.611414
Oscar apartments,2.0,,228,53.019033,18.518344
Restaracja Walter,,,433,53.019033,18.518344
Hotel Walter,,,437,53.019033,18.518344
"Zakład Handlowo Usługowo Produkcyjny ""WALTER"" Walter Tadeusz",,,447,53.019033,18.518344
Towimor. Bar,,,474,53.019033,18.518344
Przystanek Piekus,1.0,,195,52.993479,18.629549
McDonald's,1.0,,201,52.993479,18.629549
Dakat Firma. Dróżdż Teresa Toruń,,,322,52.993479,18.629549
Zajazd Torunski,,,419,52.993479,18.629549
Wild Bean Cafe,1.0,,522,52.993479,18.629549
Start Bar. Bugajski Artur Toruń,2.0,,756,52.993479,18.629549
Kim Orient,2.0,,800,52.993479,18.629549
Pizzeria Laguna,1.0,,820,52.993479,18.629549
La Pablo. FHU. Wiwatowski P.,1.0,,874,52.993479,18.629549
Bar Leśny,,,87,52.993479,18.629549
Trzy Smaki,,,110,53.04035,18.624286
Urbański,,,139,53.04035,18.624286
Graffico. Producent pylonów i witaczy,,,227,53.04035,18.624286
Mała Gastronomia Galczak Jolanta,1.0,,282,53.04035,18.624286
Fort IV,,5.7,567,53.04035,18.624286
Twierdza Torun,,,533,53.04035,18.624286
Laskowska Rudnicka Violetta Viola Firma handlowo usługowa - Torun,,,559,53.04035,18.624286
Restauracja Forteczna,2.0,,588,53.04035,18.624286
Kebabmaniak,,,625,53.04035,18.624286
Batory,,,626,53.04035,18.624286
F.H.U Przy Złotej Wyspie Ewelina Fiedorowicz,,,693,53.001641,18.701141
Restauracja Monte Carlo,1.0,,784,53.001641,18.701141
KFC,1.0,6.5,747,53.023772,18.675857
Roma. Pizzeria,1.0,,84,53.023772,18.675857
New York Pizza Department Toruń,1.0,,95,53.023772,18.675857
Jadło Do Syta,,,101,53.023772,18.675857
Verdad Sp. z o.o.,,,111,53.023772,18.675857
Restauracja Jadło Polskie,,,127,53.023772,18.675857
E-Pizzeria.Pl Krzysztof Pawłowski,1.0,,171,53.023772,18.675857
Przedsiębiorstwo Handlowo Usługowe Kowalik Maria,1.0,,183,53.023772,18.675857
Servus Sp. z o.o.,,,206,53.023772,18.675857
McDonald's,1.0,5.6,314,53.023772,18.675857
Lawenda,,,160,52.992563,18.600756
Dynasińska Maria Shangri La,,,179,52.992563,18.600756
Kęs Dobry,1.0,,281,52.992563,18.600756
Rafa. Pizzeria,1.0,,691,52.992563,18.600756
Folborska Monika Marcello,1.0,,691,52.992563,18.600756
"Restauracja ""PIĄTA KLEPKA"" Agnieszka Borkowska",,,761,52.992563,18.600756
Yomi S.C. Joanna Sowińska Michalina Bratkowska,,,120,52.992563,18.600756
Przedsiębiorstwo Handlowo Usługowe Majus Cander Tomasz,,,186,52.992563,18.600756
Firma Handlowo-Gastronomiczna. Grzebińska Teodozja Toruń,,,365,52.992563,18.600756
Pensjonat LAZUR,,,429,52.992563,18.600756
Manekin,,8.4,708,53.012702,18.619199
Szeroka No.9,,8.5,786,53.012702,18.619199
Pierogarnia Stary Toruń,1.0,8.1,849,53.012702,18.619199
Pierogarnia Stary Młyn,1.0,8.1,873,53.012702,18.619199
Jan Olbracht Browar Staromiejski,2.0,7.8,915,53.012702,18.619199
Stare Metropolis,1.0,7.2,881,53.012702,18.619199
Pierogarnia Leniwa,1.0,6.5,574,53.012702,18.619199
Gospoda Pod Modrym Fartuchem,,6.5,579,53.012702,18.619199
Dim Sum,2.0,6.3,621,53.012702,18.619199
Restauracja Lokomotywa,1.0,,57,53.012702,18.619199
Coffee & Whisky House,3.0,8.8,211,53.007485,18.600735
Apartamenty Monka,,8.4,162,53.007485,18.600735
Copernicus Toruń Hotel,,8.6,251,53.007485,18.600735
Bread House Cafe,1.0,8.4,283,53.007485,18.600735
Szeroka No.9,,8.5,591,53.007485,18.600735
Pierogarnia Stary Młyn,1.0,8.1,498,53.007485,18.600735
Pierogarnia Stary Toruń,1.0,8.1,631,53.007485,18.600735
