name,price,rating,distance,category.plural,category.name
Kim Orient,2.0,,97,Asian Restaurants,Asian
Pizzeria Laguna,1.0,,126,Pizzerias,Pizza
Start Bar. Bugajski Artur Toruń,2.0,,464,Bars,Bar
Zapiekanki na dworcu,1.0,,480,Fast Food Restaurants,Fast Food
Spichrz,,,480,Restaurants,Restaurant
Zapiekarnia,1.0,,520,Fast Food Restaurants,Fast Food
Dakat Firma. Dróżdż Teresa Toruń,,,556,Restaurants,Restaurant
Folborska Monika Marcello,1.0,,562,Fast Food Restaurants,Fast Food
Restauracja Waliza,,,734,Restaurants,Restaurant
California Pizza Bar,1.0,,54,Pizzerias,Pizza
Dom Pielgrzyma,,,55,Hostels,Hostel
Dom Pielgrzyma,,,55,Hotels,Hotel
Bar U Beaty,1.0,,99,Tea Rooms,Tea Room
Bar U Beaty,1.0,,99,Diners,Diner
Obiady u basi,1.0,,112,Diners,Diner
Smakuś,,,134,Financial Services,Financial Service
Smakuś,,,134,Bars,Bar
Smakuś,,,134,Food Courts,Food Court
Smakuś,,,134,Fast Food Restaurants,Fast Food
Chiński Kubek,1.0,,140,Chinese Restaurants,Chinese
NY's Pizza,1.0,,180,Pizzerias,Pizza
Cukiernia & Cafe Weranda Anna Nitkowska,,,265,Restaurants,Restaurant
Cukiernia & Cafe Weranda Anna Nitkowska,,,265,Food and Beverage Retail,Food & Beverage
Stachowski Daniel Bar,1.0,,282,Fast Food Restaurants,Fast Food
Chwast Prast Vegetarian Bistro,2.0,,289,Vegan and Vegetarian Restaurants,Vegan and Vegetarian Restaurant
Tara,1.0,,296,Fast Food Restaurants,Fast Food
Transcatering,,,317,Restaurants,Restaurant
Dariusz Nowak,,,185,Restaurants,Restaurant
Kawiarnia Staś Kwiatkowska Alicja,1.0,,247,Fast Food Restaurants,Fast Food
Pizzeria Yarpen,1.0,,350,Bars,Bar
Pizzeria Yarpen,1.0,,350,Pizzerias,Pizza
Caffe Bar. Drink-bar,2.0,,364,Bars,Bar
Caffe Bar. Drink-bar,2.0,,364,Coffee Shops,Coffee Shop
Caffe Bar. Drink-bar,2.0,,364,Restaurants,Restaurant
Skrzynka,,,430,Restaurants,Restaurant
Policealna Szkoła Usług Turystycznych,,,502,Technology Business,Technology Business
Policealna Szkoła Usług Turystycznych,,,502,Hotels,Hotel
Ajsu Kebab,,,542,Kebab Restaurants,Kebab
Mała Gastronomia Cegielski Jerzy,1.0,,758,Fast Food Restaurants,Fast Food
Autosar. Restauracja,,,763,Polish Restaurants,Polish
Cichy Zakątek S.C. Zembrzuska Magdalena Dąbrowska Kinga,1.0,,338,Fast Food Restaurants,Fast Food
Apartament ksiezycowy II,,,433,Hotels,Hotel
Palce Lizać,,,507,Bistros,Bistro
Pro Eco - Invest Sp. z o.o.,,,583,Hotels,Hotel
Smakuś,,,619,Financial Services,Financial Service
Smakuś,,,619,Bars,Bar
Smakuś,,,619,Food Courts,Food Court
Smakuś,,,619,Fast Food Restaurants,Fast Food
Pizza Sfera,1.0,,634,Pizzerias,Pizza
Warpol,1.0,,640,Delis,Deli
